job_id,title,description,company_name,location,location_area,min_salary,max_salary,salary_is_predicted,contract_time,contract_type,created_time,category_tag,category_label,search_role,redirect_url
5736460879,Project Manager,"AmQuip, a leader in crane services known for our commitment to safety and excellence, is seeking a Project Manager to oversee projects in the manufacturing sector. This role is pivotal in managing and delivering project goals within the constraints of scope, quality, time, and cost. The ideal candidate will bring a sharp eye for detail and a passion for driving operational success in industrial environments. This position requires managing cross-functional teams and ensuring adherence to indust…",American Equipment HR LLC Careers,"Clemson, Pickens County","US, South Carolina, Pickens County, Clemson",80000.0,105000.0,0,,,2026-05-21T08:29:40Z,manufacturing-jobs,Manufacturing Jobs,Project Manager,https://www.adzuna.com/land/ad/5736460879?se=2vNYj41V8RGpf8fFy7Zj8A&utm_medium=api&utm_source=6774ecd7&v=20DF31548B37D03716EA7F8C27352647EF78C298
5736461408,Project Manager,"AmQuip, a leader in crane services known for our commitment to safety and excellence, is seeking a Project Manager to oversee projects in the manufacturing sector. This role is pivotal in managing and delivering project goals within the constraints of scope, quality, time, and cost. The ideal candidate will bring a sharp eye for detail and a passion for driving operational success in industrial environments. This position requires managing cross-functional teams and ensuring adherence to indust…",American Equipment HR LLC Careers,"Six Mile, Pickens County","US, South Carolina, Pickens County, Six Mile",80000.0,105000.0,0,,,2026-05-21T08:30:12Z,manufacturing-jobs,Manufacturing Jobs,Project Manager,https://www.adzuna.com/land/ad/5736461408?se=2vNYj41V8RGpf8fFy7Zj8A&utm_medium=api&utm_source=6774ecd7&v=61137A51B6161716A56B0690C43A45E528B00FDD
5723177945,Senior Pest Control Technician/Project Manager,"Job Description Fairfield County's Premier Pest Control ServiceYellowstone Local is proud to represent ApolloX Pest Control, an industry leader in pest control across Fairfield County, CT. What’s in it for You? $30-$50/hour depending on experience Full-time Senior Pest Control Technician/Project Manager role with a well-established, family-owned pest control company Company vehicle provided Uniforms provided PTO of two weeks after one year Paid company holidays Opportunity to grow into a larger…",Yellowstone Local,"Fairfield, Fairfield County","US, Connecticut, Fairfield County, Fairfield",67146.02,67146.02,1,,,2026-05-08T13:42:21Z,engineering-jobs,Engineering Jobs,Project Manager,https://www.adzuna.com/land/ad/5723177945?se=2vNYj41V8RGpf8fFy7Zj8A&utm_medium=api&utm_source=6774ecd7&v=B1740F7F9AD5F4D789094B70876CD0B09F6ED8DB
5713993143,Strategic Project Manager,"ManTech International, a leader in mission-critical national security solutions, is seeking a Strategic Project Manager in our Project Management & Coordination department. In this role, you will lead cross-functional defense and aerospace initiatives, driving scope, schedule, budget, and risk management for high-impact programs. You will align stakeholders, develop project plans, track performance metrics, and ensure compliance with defense standards. ManTech’s culture of innovation, integrity…",ManTech International,"Herndon, Fairfax County","US, Virginia, Fairfax County, Herndon",140000.0,175000.0,0,,,2026-04-29T19:29:08Z,engineering-jobs,Engineering Jobs,Project Manager,https://www.adzuna.com/land/ad/5713993143?se=2vNYj41V8RGpf8fFy7Zj8A&utm_medium=api&utm_source=6774ecd7&v=291D23D219F6DEDB5DB51E9829D3BC2DA97F63EA
5729490667,IT Project Manager,"ManTech International seeks an IT Project Manager to lead complex technology initiatives supporting mission-critical national security programs. In this role, you will manage scope, schedule, budget, and risk across the full project lifecycle, coordinating cross-functional cyber and IT teams to deliver secure, compliant solutions for federal clients. You will interface with stakeholders, provide clear reporting, and drive Agile and traditional PM practices in a culture that values innovation, i…",ManTech International,"Chantilly, Fairfax County","US, Virginia, Fairfax County, Chantilly",118000.0,152000.0,0,,,2026-05-14T16:18:28Z,it-jobs,IT Jobs,Project Manager,https://www.adzuna.com/land/ad/5729490667?se=2vNYj41V8RGpf8fFy7Zj8A&utm_medium=api&utm_source=6774ecd7&v=650E35A9D108B0951AE30A853810FAADF6F4269D
5712063081,Estimator/Project Manager,"CalPortland, a leading supplier of building materials and solutions in North America since 1891, is seeking a skilled Estimator/Project Manager to join our Engineering & Maintenance team. This role is crucial for ensuring the timely and cost-effective completion of projects by preparing accurate estimates and managing construction projects from inception to completion. As a part of our commitment to sustainability, the successful candidate will focus on optimizing resources and using sustainabl…",CalPortland,"Orcutt, Santa Barbara County","US, California, Santa Barbara County, Orcutt",80000.0,120000.0,0,,,2026-04-27T19:13:36Z,trade-construction-jobs,Trade & Construction Jobs,Project Manager,https://www.adzuna.com/land/ad/5712063081?se=2vNYj41V8RGpf8fFy7Zj8A&utm_medium=api&utm_source=6774ecd7&v=15716980F2323D08116E097508240464B2282622
5733720813,Project Manager,"A.O. Hardee and Son, Inc. is a leading sitework construction company specializing in large-scale projects, including highways and infrastructure development. Our team is dedicated to safety, efficiency, and quality in every project, taking pride in delivering superior results to our clients. Interested candidates should submit a resume and any relevant certifications or licenses through A.O. Hardee and Son, Inc.'s Careers Website. A.O. Hardee and Son, Inc. is an equal opportunity and drug free …","A.O. Hardee and Son, Inc.","Little River, Horry County","US, South Carolina, Horry County, Little River",202722.64,202722.64,1,,,2026-05-19T00:20:15Z,engineering-jobs,Engineering Jobs,Project Manager,https://www.adzuna.com/land/ad/5733720813?se=doxukI1V8RG0zJdRnlvl2g&utm_medium=api&utm_source=6774ecd7&v=CC397E338C64941CD602F200EB8DDF683AEB91F5
5714714925,Senior Construction Project Manager (Req : 1362),"Job Description Job Description Peckham Industries Location: Hudson Falls, NY Pay Range: $105,000.00 - $120,000.00 Salary Interval: Full Time Description: Application Instructions About Us: Peckham Industries Inc. (PII) has been a family-run business since 1924 and we believe our “family by choice” ethos delivers value as the trusted supplier of construction materials, products, and services in the communities we serve. Through our extensive network of hot mix asphalt and ready-mix concrete pla…",Peckham Industries,"Hudson Falls, Washington County","US, New York, Washington County, Hudson Falls",127147.76,127147.76,1,,,2026-04-30T14:22:48Z,trade-construction-jobs,Trade & Construction Jobs,Project Manager,https://www.adzuna.com/land/ad/5714714925?se=doxukI1V8RG0zJdRnlvl2g&utm_medium=api&utm_source=6774ecd7&v=67503318DF229E86C6EF78CEF6EF5C1136800D64
5724066766,"Project Manager, Metabolic Disorders","Job Description Job Description Project Manager, Metabolic Disorders Position Type: Full Time Salary Range: $100,000.00 - $120,000.00 Salary The Foundation for the National Institutes of Health (FNIH) is seeking a Project Manager (PM) for Translational Science – Metabolic Disorders , to support major, multi-stakeholder research partnerships with diverse stakeholders, including biopharmaceutical companies, nonprofit healthcare organizations, government agencies, and academic scientists. The PM w…",Foundation for the NIH,"Rockville, Tolland County","US, Connecticut, Tolland County, Rockville",115881.8,115881.8,1,,,2026-05-09T06:26:40Z,scientific-qa-jobs,Scientific & QA Jobs,Project Manager,https://www.adzuna.com/land/ad/5724066766?se=doxukI1V8RG0zJdRnlvl2g&utm_medium=api&utm_source=6774ecd7&v=302ADAE862FBDA9D8125473BE46304FC5837D9C1
5715514508,Project Manager / Sr. Project Manager,"Job Description- Project Manager is responsible for leading the end-to-end delivery of complex customer network deployment projects, specializing in optical transport technologies such as DWDM, OTN, and packet networking for Data Centers, Central Offices, and Fiber Huts. Focus on managing project scope, schedules, budget, and quality to ensure customer satisfaction and meet service target margins. Key Responsibilities- Project Execution: Lead Engineering, Furnishing, and Installation (EF&I) pro…",Adex Corporation,"Buckingham, Dallas","US, Texas, Dallas, Buckingham",150369.48,150369.48,1,,,2026-05-01T03:14:31Z,it-jobs,IT Jobs,Project Manager,https://www.adzuna.com/land/ad/5715514508?se=doxukI1V8RG0zJdRnlvl2g&utm_medium=api&utm_source=6774ecd7&v=18E2CF7C7039CE7D1F00509B39C37DB23A35E102
