nama_skill,kategori,freq_industry,freq_academic,industry_norm,academic_norm,skill_gap_score
acarda forbiddencalls,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acarda sales technologies acarda outbound,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acastat software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acca manual j,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accela kiva dms,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accela permits plus,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accela tidemark advantage,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelerated life testing software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelrys decipher,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelrys felix,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelrys insight ii,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelrys materials studio,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
abb psguard,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
abb robotstudio,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
abbott,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xnat,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xperts iep.online,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xplanner,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xquery,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xt software energyxt,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xv,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelrys pipeline pilot,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accelrys qaunta,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acclaim legal acclaim depomanage,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accountants templates jazz-it!,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accountantsworld payroll relief,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accounting compliance software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accounting fraud detection software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accountmate software accountmate,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accounts receivables system software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
academic educational software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accuweather galileo,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accvision abmis,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
ace dental,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acetools.biz ace translator,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
aci appraiser's choice,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
aci tasktracker,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acl analytics,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acl audit exchange,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xilinx modelsim,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xilinx synthesis technology xst,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xilinx tmrtool,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xitona software voice composer,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xlisp-stat,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xmetal author,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xml authoring software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xml user interface xui,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acmestudio,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acms casewatch millenium,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acorynsystems activity based costing/management abc/m,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acoustica mixcraft,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acrendo a.i.med,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acrendo medical software family practice emr,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acresso installanywhere,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acs technologies acs financial suite,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
act contractors forms,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
act discover,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accra med software filopto,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accucert,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accuity epicware,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acculaw court reporters billing scheduling job management system absms,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accuship star system,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
accutech systems corporation accufarm-mgr,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xfig,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xgboost,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xgobi,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xifin,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xilinx integrated software environment ise,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xilinx ise foundation,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
act workkeys,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
act! act4advisors,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
act-3d quest3d,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
actano rplan,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
actimize brokerage compliance solutions,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
activant solutions activant prophet 21,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
active data online webchat,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
active network eventregister,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
actuarial systems corporation aim,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acl business assurance analytics,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
actuarial systems corporation dv direct,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
actuate docbook,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
actuate eclipse birt,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acupartner professional,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
acustaf,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
ad opt altitude,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adapt it,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adapt-modeler,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adaptive conjoint analysis aca software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xara designer pro x,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xata xatanet,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xerces2 java parser,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xerox docushare,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xerox freeflow print server,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xerox government systems firehouse software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
xerox profitquick,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adobe analytics,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adaptive metadata manager,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adaptive optics ao simulation software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adaptive planning,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adc legal systems perfect practice,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
addressing software,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
ademero content central,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
adept scientific grams,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
"aderant expert back office, powered by keystone",Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
aderant expert matter center,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
